runtime,run,phase,inner_rep,n,total_ns,ns_per_op
zwasm,7,stdout_stream,2,8192,412280625,50327.2
zwasm,7,wait_for_0,3,20000,76733459,3836.7
zwasm,7,concurrent_wait,3,1000,10434625,10434.6
zwasm,7,stdout_stream,3,8192,593881042,72495.2
zwasm,7,wait_for_0,4,20000,151482959,7574.1
zwasm,7,concurrent_wait,4,1000,25234709,25234.7
zwasm,7,stdout_stream,4,8192,536753792,65521.7
zwasm,8,wait_for_0,0,20000,133344000,6667.2
zwasm,8,concurrent_wait,0,1000,21265833,21265.8
zwasm,8,stdout_stream,0,8192,721528416,88077.2
zwasm,8,wait_for_0,1,20000,107662167,5383.1
zwasm,8,concurrent_wait,1,1000,16803667,16803.7
zwasm,8,stdout_stream,1,8192,636542167,77702.9
zwasm,8,wait_for_0,2,20000,143231792,7161.6
zwasm,8,concurrent_wait,2,1000,40083750,40083.8
zwasm,8,stdout_stream,2,8192,525854709,64191.2
zwasm,8,wait_for_0,3,20000,371047416,18552.4
zwasm,8,concurrent_wait,3,1000,12210458,12210.5
zwasm,8,stdout_stream,3,8192,530969000,64815.6
zwasm,8,wait_for_0,4,20000,139294250,6964.7
zwasm,8,concurrent_wait,4,1000,23042875,23042.9
zwasm,8,stdout_stream,4,8192,746437959,91117.9
zwasm,9,wait_for_0,0,20000,63386250,3169.3
zwasm,9,concurrent_wait,0,1000,9892583,9892.6
zwasm,9,stdout_stream,0,8192,435359083,53144.4
zwasm,9,wait_for_0,1,20000,65429583,3271.5
zwasm,9,concurrent_wait,1,1000,10997583,10997.6
zwasm,9,stdout_stream,1,8192,791129000,96573.4
zwasm,9,wait_for_0,2,20000,194565000,9728.2
zwasm,9,concurrent_wait,2,1000,32410375,32410.4
zwasm,9,stdout_stream,2,8192,633966875,77388.5
zwasm,9,wait_for_0,3,20000,108954959,5447.7
zwasm,9,concurrent_wait,3,1000,24549125,24549.1
zwasm,9,stdout_stream,3,8192,593661584,72468.5
zwasm,9,wait_for_0,4,20000,118913458,5945.7
zwasm,9,concurrent_wait,4,1000,21238834,21238.8
zwasm,9,stdout_stream,4,8192,746642917,91142.9
