rep,runtime,variant,scene,frames,fps_mean,fps_median,frame_ms_p50,frame_ms_p95,frame_ms_p99,frame_ms_max,guest_ms_mean,encode_ms_mean,gpu_ms_mean,init_ms,load_ms,phys_footprint_peak_bytes,phys_footprint_before_guest_bytes,linear_memory_peak_bytes,cpu_ms,e_share,ipc,run_instructions,run_cycles,all_hash,final_texture_hash,adapter,error
1,wasm3,scalar,0,13,6.744,6.658,150.186,169.361,187.825,187.825,99.275,8.985,40.016,181.152,11.972,55542624,10617656,12582912,1394.245,0.9894,1.082,,,cb26b92b6b32ecfe,d8670619b1c3d306,Apple A12 GPU (Metal),
1,wasm3,scalar,1,13,11.402,14.744,67.826,116.493,187.779,187.779,66.737,8.322,12.64,221.742,4.707,47809416,10765152,6160384,969.503,0.9856,0.991,,,9a1c33a1c47393e2,33e4bacd203e3c72,Apple A12 GPU (Metal),
