rep,runtime,case,ok,result,iterations,load_ns,min_ns,median_ns,p99_ns,cpu_user_ns,cpu_system_ns,p_cpu_ns,e_share,ipc,instructions,cycles,rss_peak_bytes,error
1,wasm3,xmrsplayer,True,550635310,353,1985334,3660416,8575125,13188250,2570576000.0,63216000,0,1.0,2.7826310901916367,9812117120,3526201211,23265280,
1,wasm3,vtable_mono,True,-318559695,77,164416,10497750,21956000,28678708,1460589000.0,30407000,0,1.0,3.5515294232604195,7206604834,2029155323,23281664,
1,wasm3,vtable_bi,True,-208336512,65,126667,14734708,27373917,34018667,1511340000.0,41611000,0,1.0,3.4621854556829987,6696985982,1934323296,23298048,
1,wasm3,vtable_poly4,True,-126115384,77,146291,13132750,26411958,33259584,1719803000.0,43779000,0,1.0,3.4874700337202564,8122938534,2329178016,23314432,
1,wasm3,vtable_poly6,True,579248763,64,167417,14644292,29139875,46920333,1643894000.0,41548000,0,1.0,3.1582851453932914,7012664940,2220402724,23330816,
1,wasm3,graphql_as,True,5,364,1081792,2512625,6693250,9872625,2070969000.0,52464000,0,1.0,2.5520703164406506,7166722533,2808199479,23543808,
1,wasm3,tailcall_fsm,True,-1841735369,694,124000,2265834,5322417,8437750,3138752000.0,78237000,0,1.0,2.9304218870531957,12237003966,4175850590,23560192,
1,wasm3,eh_parser_exnref,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
1,wasm3,eh_parser_legacy,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
1,wasm3,gc_trees,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: malformed Wasm binary
1,wasm3,callref_dispatch,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: unknown value_type
1,wasm3,callref_dispatch.indirect,True,-750120562,152,48250,6469917,14273583,18866500,1780381000.0,37116000,0,1.0,2.914038331385933,7299808808,2505049000,23740416,
1,wasm3,relaxed_dot,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(relaxed_dot) failed: unknown type
1,wasm3,relaxed_madd,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(relaxed_madd) failed: unknown type
1,wasm3,mem64_chase,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: malformed Wasm binary
1,wasm3,mem64_chase.mem32,True,433527714,21,14209708,36198667,82330958,104274417,1324305000.0,34764000,0,1.0,0.2910207119045238,567349657,1949516422,74678272,
1,wasm3,multimem_transform,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: only one memory per module is supported
1,wasm3,multimem_transform.single,True,902712413,792,35875,1214292,2730083,5047625,1808685000.0,46137000,0,1.0,3.746022339769394,9606113788,2564350374,74678272,
1,wasm3,extconst_init,True,-1152068691,132,117875,9978792,16048042,20789125,1817521000.0,47879000,0,1.0,3.0790932724858266,7741193074,2514114510,75579392,
1,wasm3,extconst_init.mvp,True,-1152068691,238,36000,3757000,8210250,13126958,1733191000.0,46619000,0,1.0,2.7124392349808124,6553247105,2415997756,75644928,
1,wasm3,graphql_porf,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
1,wasm3,sqlite3,False,,,,,,,,,,,,,,,N/A — the harness only has a WASI preview-1 + bench.* import shim for Pulley
1,wasmedge,fib,True,832040,3,1517584,593818417,602650750,677002875,1665549000.0,40669000,0,1.0,3.6330111530036118,8315112579,2288766048,4603904,
1,wasmedge,fib_tail,True,873876091,290,593875,2774667,6415458,9989041,1552999000.0,39450000,0,1.0,3.477662205770407,7055521883,2028811732,4866048,
