busiest thread: WasmBench (0x13afb4)  samples: 7817 (99.9% on E cores)  all threads: 8039

# self time (leaf frame), top 60
 22.12%    1729  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted17BinOpLocalConst32
 20.02%    1565  push<u32>
 19.07%    1491  stack_push
 19.02%    1487  exec_binop_local_const<u32, true, tinywasm_types::instructions::BinOp>
 18.60%    1454  capacity<u32, alloc::alloc::Global>
 18.60%    1454  capacity<alloc::alloc::Global>
 17.58%    1374  exec_binop_result<u32, true>
  9.99%     781  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted13LoadLocal8U32
  9.04%     707  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpLocalConst32
  7.29%     570  _RINvMs2_NtNtCs36bxxCEyneN_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_localhKj1_lKb0_KB1v_NvYlINtNtCsrpAx3gGG88_4core7convert4FromhE4fromEBa_
  6.93%     542  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10IncLocal32
  4.99%     390  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalSet32
  4.95%     387  pop<u32>
  4.95%     387  pop<u32, alloc::alloc::Global>
  4.93%     385  stack_pop
  4.58%     358  exec_jump_cmp_local_const32
  4.55%     356  local_get
  4.43%     346  index<u32, usize, alloc::alloc::Global>
  4.35%     340  get<u32>
  4.31%     337  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalGet32
  3.22%     252  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted6I32Xor
  3.08%     241  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted8I32Store
  2.71%     212  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted7I32Load
  2.65%     207  exec
  2.65%     207  exec_binop_32
  2.41%     188  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted11LoadLocal32
  2.30%     180  exec_binary
  2.21%     173  exec_local_set_pop<u32>
  1.92%     150  inner<tinywasm_types::WasmFunction, alloc::alloc::Global>
  1.92%     150  deref<tinywasm_types::WasmFunction, alloc::alloc::Global>
  1.92%     150  as_ref<alloc::sync::ArcInner<tinywasm_types::WasmFunction>>
  1.82%     142  _RINvMs2_NtNtCs36bxxCEyneN_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_locallKj4_lKb0_KB1v_INvNtCsrpAx3gGG88_4core7convert8identitylEEBa_
  1.60%     125  local_update<tinywasm::interpreter::executor::dispatch_become::{impl#0}::IncLocal32::{closure_env#0}>
  1.55%     121  local_push
