busiest thread: WasmBench (0x34a65)  samples: 11729 (100.0% on E cores)  all threads: 11855

# self time (leaf frame), top 60
  0.75%      88  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted7I32Load
  0.73%      86  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted14LoadLocal16S32
  0.73%      86  _RINvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_localsKj2_lKb0_KB1v_NvYlINtNtCsrpAx3gGG88_4core7convert4FromsE4fromEBa_
  0.70%      82  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted11LoadLocal32
  0.70%      82  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpStackConst32
  0.69%      81  _RINvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_localhKj1_lKb1_KB1v_NvYlINtNtCsrpAx3gGG88_4core7convert4FromhE4fromEBa_
  0.60%      70  _RINvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_locallKj4_lKb0_KB1v_INvNtCsrpAx3gGG88_4core7convert8identitylEEBa_
  0.55%      64  _RINvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_localhKj1_lKb0_KB1v_NvYlINtNtCsrpAx3gGG88_4core7convert4FromhE4fromEBa_
  0.52%      61  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted16LoadLocalTee8U32
  0.49%      57  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted17LoadLocalTee16S32
  0.48%      56  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10AndConst32
  0.45%      53  _RINvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_localsKj2_lKb1_KB1v_NvYlINtNtCsrpAx3gGG88_4core7convert4FromsE4fromEBa_
  0.44%      52  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted16ShrULocalConst32
  0.43%      50  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted13LoadLocal8U32
  0.41%      48  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted6I32Sub
  0.39%      46  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted15CmpLocalLocal32
  0.39%      46  _RINvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_localhKj1_lKb1_Kb0_NvYlINtNtCsrpAx3gGG88_4core7convert4FromhE4fromEBa_
  0.34%      40  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpStackLocal32
  0.34%      40  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalGet64
  0.33%      39  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted6I32Mul

# inclusive (on stack), top 60
100.00%   11729  start_wqthread
100.00%   11729  _dispatch_worker_thread2
100.00%   11729  _pthread_wqthread
100.00%   11729  _dispatch_root_queue_drain
100.00%   11729  _dispatch_client_callout
 99.99%   11728  <deduplicated_symbol>
 99.98%   11727  _dispatch_call_block_and_release
 99.97%   11726  _RNvNtCs9e6pHsgSdNO_14benchmark_core5cases8run_case
 99.97%   11726  closure #2 in BenchmarkContentView.runAll()
 99.97%   11726  thunk for @escaping @callee_guaranteed @Sendable () -> ()
 99.97%   11726  closure #121 in variable initialization expression of WORKLOADS
 99.97%   11725  bench_run_case
 99.97%   11725  _RNvNtCs9e6pHsgSdNO_14benchmark_core8tinywasm27run_workload_tinywasm_iters
