busiest thread: WasmBench (0x3189a)  samples: 11769 (100.0% on E cores)  all threads: 11886

# self time (leaf frame), top 60
  2.06%     242  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted15SetLocalConst32
  2.00%     235  _platform_memset
  1.40%     165  _RNCNvNtCs9e6pHsgSdNO_14benchmark_core8tinywasm27run_workload_tinywasm_iterss_0B5_
  0.32%      38  __bzero
  0.02%       2  0x1a8c3baf3
  0.02%       2  0x1a8ce5893
  0.02%       2  0x1a8ce75e3
  0.02%       2  0x1a8ce58b7
  0.02%       2  _dispatch_once_callout
  0.02%       2  _RNvCs6zSx74S7WDa_15tinywasm_parser11parse_bytes
  0.01%       1  _objc_msgSend_uncached
  0.01%       1  objc_alloc_init
  0.01%       1  lookUpImpOrForward
  0.01%       1  0x1a8ce769b
  0.01%       1  0x1a8ce76a7
  0.01%       1  +[BSServiceConnection connectionWithEndpoint:]
  0.01%       1  0x1b680562f
  0.01%       1  _dispatch_lane_barrier_sync_invoke_and_complete
  0.01%       1  -[BSXPCServiceConnectionEndpoint RBSTarget]
  0.01%       1  __getRBSTargetClass_block_invoke
  0.01%       1  -[BSServiceInitiatingConnectionMultiplexer newConnectionWithEndpoint:]
  0.01%       1  0x1b6805b1f
  0.01%       1  getRBSTargetClass
  0.01%       1  +[BSServiceConnection _connectionWithEndpoint:muxer:clientContextBuilder:]
  0.01%       1  0x296cc1621
  0.01%       1  0x1b680549b
  0.01%       1  +[BSXPCServiceConnection connectionWithEndpoint:]
  0.01%       1  -[BSServiceInitiatingConnection _initWithEndpoint:options:]
  0.01%       1  __31+[FBSSceneExtension initialize]_block_invoke
  0.01%       1  +[FBSSceneExtension _frameworkNameLoadingIfNeeded:]
