busiest thread: WasmBench (0x37be2)  samples: 11784 (100.0% on E cores)  all threads: 11906

# self time (leaf frame), top 60
  0.18%      21  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted15AndLocalConst32
  0.08%      10  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10XorConst32
  0.08%       9  _RNCNvNtCs9e6pHsgSdNO_14benchmark_core8tinywasm27run_workload_tinywasm_iterss_0B5_
  0.08%       9  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted13SelectStore32
  0.04%       5  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10IncLocal32
  0.04%       5  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted20BinOpLocalConstTee32
  0.02%       2  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpStackConst32
  0.01%       1  stat
  0.01%       1  __31+[FBSSceneExtension initialize]_block_invoke
  0.01%       1  _dispatch_queue_override_invoke
  0.01%       1  _dispatch_queue_override_invoke.cold.3
  0.01%       1  +[FBSSceneExtension _frameworkNameLoadingIfNeeded:]
  0.01%       1  +[NSBundle bundleForClass:]
  0.01%       1  _RNvCs9e6pHsgSdNO_14benchmark_core17run_workload_with
  0.01%       1  _RNvMNtCs6zSx74S7WDa_15tinywasm_parser6moduleNtB2_12ModuleReader33process_inline_code_section_entry
  0.01%       1  _RNvCs6zSx74S7WDa_15tinywasm_parser11parse_bytes
  0.01%       1  _RNvXs2_NtCs6zSx74S7WDa_15tinywasm_parser5visitNtB5_17ValidateThenVisitNtNtNtNtCs3IRCKQbPsgg_10wasmparser7readers4core9operators13VisitOperator16visit_global_get
  0.01%       1  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted17BinOpLocalConst32
  0.01%       1  clock_gettime
  0.01%       1  mach_absolute_time
  0.01%       1  _RNvMNtNtNtNtCsg8tlWPf0vnr_3std3sys3pal4unix4timeNtB2_8Timespec3now
