busiest thread: WasmBench (0x3946a)  samples: 11786 (99.9% on E cores)  all threads: 11897

# self time (leaf frame), top 60
  1.56%     184  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted11ShrUConst32
  1.47%     173  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted18AddLocalLocalTee32
  0.97%     114  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted11LocalCopy32
  0.69%      81  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalSet32
  0.55%      65  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalTee32
  0.28%      33  _RINvNtCsrpAx3gGG88_4core3ptr9drop_glueNtNtCsiu4FEgNcf0E_8tinywasm5error4TrapEBE_
  0.19%      22  _RNCNvNtCs9e6pHsgSdNO_14benchmark_core8tinywasm27run_workload_tinywasm_iterss_0B5_
  0.14%      16  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalGet32
  0.03%       4  _dispatch_root_queue_drain_deferred_wlh
  0.03%       4  _dispatch_lane_invoke
  0.03%       4  _dispatch_lane_serial_drain
  0.03%       4  _dispatch_workloop_worker_thread
  0.03%       3  _BSXPCDecodeObjectForKey
  0.03%       3  BSXPCServiceConnectionExecuteCallOut
  0.03%       3  _BSXPCDecodeObjectFromContext
  0.03%       3  +[BSXPCServiceConnectionProxy invokeMethod:onTarget:withMessage:forConnection:completion:]
  0.03%       3  -[BSXPCServiceConnection _connection_handleMessage:fromPeer:withHandoff:]
  0.03%       3  __63-[BSXPCServiceConnectionEventHandler connection:handleMessage:]_block_invoke
  0.03%       3  -[BSXPCServiceConnectionEventHandler connection:handleMessage:]
  0.03%       3  +[BSXPCServiceConnectionProxy decodeArguments:outArgs:fromMessage:forConnection:]
  0.02%       2  __CFSearchStringROM
  0.02%       2  __CFStringCreateImmutableFunnel3
  0.02%       2  _objc_msgSend_uncached
  0.02%       2  lookUpImpOrForward
  0.02%       2  +[BSObjCProtocol protocolForProtocol:interpreter:]
  0.02%       2  -[FBSSceneParameters initWithXPCDictionary:]
  0.02%       2  +[FBSSettingsExtension BSObjCProtocol]
  0.02%       2  +[BSObjCProtocol _gatherMethodMetadataForRequired:onProtocol:toMethods:andErrors:]
  0.02%       2  _realizeSettingsExtension
  0.02%       2  +[BSObjCProtocol protocolForProtocol:]
  0.02%       2  FBSRealizeSubclassExtension
  0.02%       2  FBSRealizeSettingsExtension
  0.02%       2  -[FBSSettings initWithSettings:]
  0.02%       2  _RNvCs6zSx74S7WDa_15tinywasm_parser11parse_bytes
  0.02%       2  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpLocalConst32
