variant,build,runtime,rep,case,result,iterations,median_ms,cpu_user_ms,e_share,ipc,instructions,cycles
base,tinywasm next b45a98a,tinywasm,5,call_indirect (200K dispatches),-9175573,57,34.833,1976.82,1.000,2.44,8831186356,3618167961
base,tinywasm next b45a98a,tinywasm,5,xmrsplayer (1024-frame buffer),1681653048,79,25.218,1983.15,1.000,2.60,9416443246,3628490793
base,tinywasm next b45a98a,tinywasm,5,vtable_poly4 (200K),-126115384,28,71.228,1985.78,1.000,2.66,9671401623,3634904928
base,tinywasm next b45a98a,tinywasm,5,graphql-validation (AS),5,100,19.644,1985.79,1.000,2.35,8538455468,3634845352
base,tinywasm next b45a98a,tinywasm,5,graphql-validation (Porffor),0,116,16.645,1645.57,1.000,2.10,7513777703,3577332419
base,tinywasm next b45a98a,tinywasm,5,sieve(10000) [scalar build],1229,1729,1.114,1923.52,1.000,3.15,11092326147,3520137460
base,tinywasm next b45a98a,tinywasm,5,crc32(64KB) [scalar build],-1910355869,245,8.149,1983.42,1.000,3.17,11537516751,3634508821
base,tinywasm next b45a98a,tinywasm,5,convolution 256×256 [scalar build],8190685,89,22.407,1985.97,1.000,3.05,11072088862,3633725383
base,tinywasm next b45a98a,tinywasm,5,bulk_memory (memory.copy/fill) [scalar build],8698902,120,16.844,2013.19,1.000,3.29,12125895493,3684597099
base,tinywasm next b45a98a,tinywasm,5,tail-call FSM (65536 return_call),-1841735369,253,8.009,2021.79,1.000,3.09,11448201032,3700508207
base,tinywasm next b45a98a,tinywasm,5,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,23.278,2017.27,1.000,2.63,9697685043,3693368047
base,tinywasm next b45a98a,tinywasm,5,GC binary trees (~130K struct.new),-81253392,12,157.029,1841.83,1.000,2.17,7460324421,3431003721
base,tinywasm next b45a98a,tinywasm,5,call_ref twin: call_indirect (200K),-750120562,65,30.225,1958.80,1.000,2.57,9217936679,3585288246
v1,v1 cold growth,tinywasm,1,fib(30),832040,11,160.749,1753.01,1.000,3.20,10283632799,3215136944
v1,v1 cold growth,tinywasm,1,matmul relaxed-simd FMA,48907,464,4.290,1988.49,1.000,3.24,11803545598,3640100853
v1,v1 cold growth,tinywasm,1,audio DSP (1000 frames × 512),761667740,1,1629.594,1620.89,1.000,3.35,9951177632,2966732572
v1,v1 cold growth,tinywasm,1,call_indirect (200K dispatches),-9175573,59,33.672,1979.04,1.000,2.45,8876260951,3621701384
v1,v1 cold growth,tinywasm,1,xmrsplayer (1024-frame buffer),1659814254,83,24.242,2001.13,1.000,2.60,9538136136,3662594796
v1,v1 cold growth,tinywasm,1,vtable_poly4 (200K),-126115384,28,69.784,1945.28,1.000,2.65,9417768450,3559639167
v1,v1 cold growth,tinywasm,1,graphql-validation (AS),5,101,19.471,1979.71,1.000,2.29,8292433075,3624236570
v1,v1 cold growth,tinywasm,1,graphql-validation (Porffor),0,120,16.267,1660.53,1.000,2.07,7490601880,3618834452
v1,v1 cold growth,tinywasm,1,sieve(10000) [scalar build],1229,1975,1.014,2003.19,1.000,3.23,11863294096,3670677570
v1,v1 cold growth,tinywasm,1,crc32(64KB) [scalar build],-1910355869,273,7.391,2014.81,1.000,3.31,12225078407,3694641188
v1,v1 cold growth,tinywasm,1,convolution 256×256 [scalar build],8190685,31,21.112,654.04,0.989,3.03,3672029281,1213418241
v1,v1 cold growth,tinywasm,1,bulk_memory (memory.copy/fill) [scalar build],8698902,127,15.613,1977.51,1.000,3.39,12277841539,3617327395
v1,v1 cold growth,tinywasm,1,tail-call FSM (65536 return_call),-1841735369,258,7.792,2008.78,1.000,3.10,11403766629,3677220492
v1,v1 cold growth,tinywasm,1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,89,22.400,1983.55,1.000,2.67,9712156743,3637301092
v1,v1 cold growth,tinywasm,1,GC binary trees (~130K struct.new),-81253392,12,154.112,1809.52,1.000,2.19,7364443726,3369208257
v1,v1 cold growth,tinywasm,1,call_ref twin: call_indirect (200K),-750120562,66,29.989,1966.99,1.000,2.54,9131889655,3599013378
v1,v1 cold growth,tinywasm,2,fib(30),832040,12,160.771,1913.55,0.999,3.20,11217795884,3509720976
v1,v1 cold growth,tinywasm,2,matmul relaxed-simd FMA,48907,462,4.303,1984.57,1.000,3.24,11752547529,3631501581
v1,v1 cold growth,tinywasm,2,audio DSP (1000 frames × 512),761667740,1,1628.155,1620.53,1.000,3.36,9950892139,2965392837
v1,v1 cold growth,tinywasm,2,call_indirect (200K dispatches),-9175573,59,33.814,1986.86,1.000,2.44,8876491338,3635648457
v1,v1 cold growth,tinywasm,2,xmrsplayer (1024-frame buffer),1258103818,82,24.792,2023.78,1.000,2.54,9423849512,3703194560
v1,v1 cold growth,tinywasm,2,vtable_poly4 (200K),-126115384,28,69.612,1937.23,1.000,2.65,9419234126,3548794135
v1,v1 cold growth,tinywasm,2,graphql-validation (AS),5,101,19.279,1959.57,1.000,2.31,8292484620,3586083925
v1,v1 cold growth,tinywasm,2,graphql-validation (Porffor),0,115,16.310,1592.18,1.000,2.06,7161283379,3474981926
v1,v1 cold growth,tinywasm,2,sieve(10000) [scalar build],1229,1986,1.013,2012.90,1.000,3.24,11929279979,3687466918
v1,v1 cold growth,tinywasm,2,crc32(64KB) [scalar build],-1910355869,271,7.370,1995.34,1.000,3.32,12132117036,3650909911
v1,v1 cold growth,tinywasm,2,convolution 256×256 [scalar build],8190685,95,21.019,1990.51,1.000,3.05,11120563566,3643117662
v1,v1 cold growth,tinywasm,2,bulk_memory (memory.copy/fill) [scalar build],8698902,130,15.673,2033.78,1.000,3.38,12569505408,3723544756
v1,v1 cold growth,tinywasm,2,tail-call FSM (65536 return_call),-1841735369,257,7.820,2005.63,1.000,3.09,11359880263,3671046584
v1,v1 cold growth,tinywasm,2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,22.523,1953.09,1.000,2.66,9493514818,3574646880
v1,v1 cold growth,tinywasm,2,GC binary trees (~130K struct.new),-81253392,12,154.150,1808.05,1.000,2.19,7364248880,3368112168
v1,v1 cold growth,tinywasm,2,call_ref twin: call_indirect (200K),-750120562,67,29.748,1989.49,1.000,2.55,9270009292,3640393850
v1,v1 cold growth,tinywasm,3,fib(30),832040,12,160.676,1913.80,1.000,3.20,11217412979,3507889801
v1,v1 cold growth,tinywasm,3,matmul relaxed-simd FMA,48907,466,4.307,2003.45,1.000,3.23,11854619538,3667514654
v1,v1 cold growth,tinywasm,3,audio DSP (1000 frames × 512),761667740,1,1630.940,1623.49,1.000,3.35,9950974633,2971433119
v1,v1 cold growth,tinywasm,3,call_indirect (200K dispatches),-9175573,59,33.718,1980.40,1.000,2.45,8876348343,3624488844
v1,v1 cold growth,tinywasm,3,xmrsplayer (1024-frame buffer),-1612982694,86,23.240,1986.73,1.000,2.72,9882442954,3636277137
v1,v1 cold growth,tinywasm,3,vtable_poly4 (200K),-126115384,29,69.438,2002.20,1.000,2.66,9755492144,3668228822
v1,v1 cold growth,tinywasm,3,graphql-validation (AS),5,101,19.280,1965.87,1.000,2.30,8293172951,3600099203
v1,v1 cold growth,tinywasm,3,graphql-validation (Porffor),0,121,16.399,1679.02,1.000,2.05,7553173871,3675790406
v1,v1 cold growth,tinywasm,3,sieve(10000) [scalar build],1229,1906,1.013,1932.14,1.000,3.23,11449084130,3539813198
v1,v1 cold growth,tinywasm,3,crc32(64KB) [scalar build],-1910355869,274,7.380,2019.14,1.000,3.32,12266928189,3696160955
v1,v1 cold growth,tinywasm,3,convolution 256×256 [scalar build],8190685,96,21.018,2010.37,1.000,3.05,11237088659,3678782505
v1,v1 cold growth,tinywasm,3,bulk_memory (memory.copy/fill) [scalar build],8698902,126,15.635,1963.02,1.000,3.39,12182610034,3594775176
v1,v1 cold growth,tinywasm,3,tail-call FSM (65536 return_call),-1841735369,259,7.785,2015.85,1.000,3.10,11449248713,3690328957
v1,v1 cold growth,tinywasm,3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,22.712,1990.09,1.000,2.64,9603159941,3644345898
v1,v1 cold growth,tinywasm,3,GC binary trees (~130K struct.new),-81253392,12,154.086,1805.94,1.000,2.19,7364023940,3366657693
v1,v1 cold growth,tinywasm,3,call_ref twin: call_indirect (200K),-750120562,66,29.761,1957.49,1.000,2.55,9131820805,3582063965
v1,v1 cold growth,tinywasm,4,fib(30),832040,12,160.585,1913.45,1.000,3.20,11217252817,3506921972
v1,v1 cold growth,tinywasm,4,matmul relaxed-simd FMA,48907,466,4.288,1995.33,1.000,3.25,11854246926,3651276046
v1,v1 cold growth,tinywasm,4,audio DSP (1000 frames × 512),761667740,1,1627.788,1620.23,1.000,3.36,9950857454,2963572404
v1,v1 cold growth,tinywasm,4,call_indirect (200K dispatches),-9175573,55,33.825,1850.94,1.000,2.44,8274710468,3393184714
v1,v1 cold growth,tinywasm,4,xmrsplayer (1024-frame buffer),1821690159,80,25.092,1998.00,1.000,2.51,9194582659,3656561849
v1,v1 cold growth,tinywasm,4,vtable_poly4 (200K),-126115384,28,69.489,1942.69,1.000,2.65,9418422834,3557085011
v1,v1 cold growth,tinywasm,4,graphql-validation (AS),5,100,19.436,1961.06,1.000,2.29,8221605282,3593025064
v1,v1 cold growth,tinywasm,4,graphql-validation (Porffor),0,121,16.179,1660.58,1.000,2.08,7543119337,3629952189
v1,v1 cold growth,tinywasm,4,sieve(10000) [scalar build],1229,1679,1.012,1700.13,1.000,3.24,10084539360,3111026352
v1,v1 cold growth,tinywasm,4,crc32(64KB) [scalar build],-1910355869,271,7.377,1995.56,1.000,3.32,12132258134,3653262179
v1,v1 cold growth,tinywasm,4,convolution 256×256 [scalar build],8190685,96,20.923,2001.46,1.000,3.07,11237055399,3662473286
v1,v1 cold growth,tinywasm,4,bulk_memory (memory.copy/fill) [scalar build],8698902,129,15.640,2012.91,1.000,3.39,12470997659,3683899055
v1,v1 cold growth,tinywasm,4,tail-call FSM (65536 return_call),-1841735369,256,7.791,1991.77,1.000,3.10,11315063570,3644504480
v1,v1 cold growth,tinywasm,4,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,22.550,1977.65,1.000,2.65,9602969729,3620513964
v1,v1 cold growth,tinywasm,4,GC binary trees (~130K struct.new),-81253392,12,153.973,1807.26,1.000,2.19,7365391526,3366276740
v1,v1 cold growth,tinywasm,4,call_ref twin: call_indirect (200K),-750120562,67,29.842,1986.97,1.000,2.55,9272009513,3638462585
v1,v1 cold growth,tinywasm,5,fib(30),832040,12,161.094,1914.32,1.000,3.20,11217517135,3507949150
v1,v1 cold growth,tinywasm,5,matmul relaxed-simd FMA,48907,467,4.290,2001.21,1.000,3.24,11879556980,3661436509
v1,v1 cold growth,tinywasm,5,audio DSP (1000 frames × 512),761667740,1,1653.513,1629.10,1.000,3.34,9952328636,2982915608
v1,v1 cold growth,tinywasm,5,call_indirect (200K dispatches),-9175573,59,33.888,1992.71,1.000,2.43,8877320451,3647503273
v1,v1 cold growth,tinywasm,5,xmrsplayer (1024-frame buffer),-1323583813,84,24.197,2021.78,1.000,2.61,9653230106,3701246781
v1,v1 cold growth,tinywasm,5,vtable_poly4 (200K),-126115384,28,70.005,1949.33,1.000,2.64,9418869595,3570807517
v1,v1 cold growth,tinywasm,5,graphql-validation (AS),5,99,19.389,1935.62,1.000,2.29,8130166308,3544205607
v1,v1 cold growth,tinywasm,5,graphql-validation (Porffor),0,120,16.206,1646.24,1.000,2.08,7497852938,3601507308
v1,v1 cold growth,tinywasm,5,sieve(10000) [scalar build],1229,1868,1.014,1894.60,1.000,3.23,11221436655,3475293281
v1,v1 cold growth,tinywasm,5,crc32(64KB) [scalar build],-1910355869,271,7.395,2001.26,1.000,3.31,12132264164,3662615481
v1,v1 cold growth,tinywasm,5,convolution 256×256 [scalar build],8190685,96,20.967,2005.95,1.000,3.06,11237199478,3671476904
v1,v1 cold growth,tinywasm,5,bulk_memory (memory.copy/fill) [scalar build],8698902,130,15.656,2028.75,1.000,3.38,12568288466,3714552507
v1,v1 cold growth,tinywasm,5,tail-call FSM (65536 return_call),-1841735369,258,7.805,2009.69,1.000,3.10,11404095341,3679028107
v1,v1 cold growth,tinywasm,5,"EH parser, exnref (4096 stmts, 25% throw)",830008030,80,22.501,1793.38,1.000,2.66,8729814802,3284170393
v1,v1 cold growth,tinywasm,5,GC binary trees (~130K struct.new),-81253392,13,154.141,1957.50,1.000,2.19,7973763048,3645979602
v1,v1 cold growth,tinywasm,5,call_ref twin: call_indirect (200K),-750120562,67,29.792,1991.34,1.000,2.54,9270100549,3644416682
v5,v5 v1+inline binop,tinywasm,1,fib(30),832040,12,154.753,1842.57,1.000,3.19,10786388685,3379671392
v5,v5 v1+inline binop,tinywasm,1,matmul relaxed-simd FMA,48907,442,4.244,1877.26,0.998,3.23,11100652747,3438136246
v5,v5 v1+inline binop,tinywasm,1,audio DSP (1000 frames × 512),761667740,1,1576.197,1565.01,1.000,3.29,9418277937,2864889496
v5,v5 v1+inline binop,tinywasm,1,call_indirect (200K dispatches),-9175573,59,33.867,1989.89,1.000,2.41,8787181542,3641687216
v5,v5 v1+inline binop,tinywasm,1,xmrsplayer (1024-frame buffer),-1464994193,85,23.608,1999.90,1.000,2.63,9614733124,3659997421
v5,v5 v1+inline binop,tinywasm,1,vtable_poly4 (200K),-126115384,28,67.403,1881.80,1.000,2.65,9112712958,3443919496
v5,v5 v1+inline binop,tinywasm,1,graphql-validation (AS),5,105,18.776,1986.02,1.000,2.32,8432730455,3641051264
v5,v5 v1+inline binop,tinywasm,1,graphql-validation (Porffor),0,116,16.239,1603.72,1.000,2.04,7158224325,3508841148
v5,v5 v1+inline binop,tinywasm,1,sieve(10000) [scalar build],1229,1963,1.010,1984.04,1.000,3.23,11736725747,3631661782
v5,v5 v1+inline binop,tinywasm,1,crc32(64KB) [scalar build],-1910355869,277,7.283,2014.67,1.000,3.29,12145074141,3687275583
v5,v5 v1+inline binop,tinywasm,1,convolution 256×256 [scalar build],8190685,94,20.892,1956.64,1.000,3.07,11002901190,3580981085
v5,v5 v1+inline binop,tinywasm,1,bulk_memory (memory.copy/fill) [scalar build],8698902,133,15.157,2009.95,1.000,3.40,12493014281,3677988789
v5,v5 v1+inline binop,tinywasm,1,tail-call FSM (65536 return_call),-1841735369,266,7.684,2040.03,1.000,3.06,11426378365,3734006725
v5,v5 v1+inline binop,tinywasm,1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,89,22.340,1981.17,1.000,2.66,9640248590,3626873106
v5,v5 v1+inline binop,tinywasm,1,GC binary trees (~130K struct.new),-81253392,12,154.537,1807.57,1.000,2.18,7332714916,3369557539
v5,v5 v1+inline binop,tinywasm,1,call_ref twin: call_indirect (200K),-750120562,67,29.276,1952.52,1.000,2.53,9028499187,3571929730
v5,v5 v1+inline binop,tinywasm,2,fib(30),832040,12,154.388,1840.67,1.000,3.20,10784373949,3374475019
v5,v5 v1+inline binop,tinywasm,2,matmul relaxed-simd FMA,48907,467,4.247,1980.47,1.000,3.23,11716457951,3625211733
v5,v5 v1+inline binop,tinywasm,2,audio DSP (1000 frames × 512),761667740,1,1571.687,1564.08,1.000,3.29,9418014966,2862534504
v5,v5 v1+inline binop,tinywasm,2,call_indirect (200K dispatches),-9175573,59,33.904,1992.84,1.000,2.41,8786663937,3646403169
v5,v5 v1+inline binop,tinywasm,2,xmrsplayer (1024-frame buffer),-1323583813,84,24.061,2010.93,1.000,2.58,9501495119,3680154445
v5,v5 v1+inline binop,tinywasm,2,vtable_poly4 (200K),-126115384,29,67.637,1950.53,1.000,2.64,9437995653,3569092784
v5,v5 v1+inline binop,tinywasm,2,graphql-validation (AS),5,102,18.878,1937.12,1.000,2.31,8197005572,3554311651
v5,v5 v1+inline binop,tinywasm,2,graphql-validation (Porffor),0,122,16.079,1659.74,1.000,2.07,7526110941,3631660103
v5,v5 v1+inline binop,tinywasm,2,sieve(10000) [scalar build],1229,1978,1.014,2006.15,1.000,3.22,11826028845,3670986975
v5,v5 v1+inline binop,tinywasm,2,crc32(64KB) [scalar build],-1910355869,277,7.283,2013.53,1.000,3.30,12144981181,3685364939
v5,v5 v1+inline binop,tinywasm,2,convolution 256×256 [scalar build],8190685,97,20.988,2029.95,1.000,3.06,11353985202,3714021947
v5,v5 v1+inline binop,tinywasm,2,bulk_memory (memory.copy/fill) [scalar build],8698902,133,15.159,2010.21,1.000,3.40,12493031460,3679206789
v5,v5 v1+inline binop,tinywasm,2,tail-call FSM (65536 return_call),-1841735369,263,7.701,2022.70,1.000,3.05,11297357601,3701437056
v5,v5 v1+inline binop,tinywasm,2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,22.453,1946.84,1.000,2.64,9424166575,3564228292
v5,v5 v1+inline binop,tinywasm,2,GC binary trees (~130K struct.new),-81253392,12,153.880,1808.08,1.000,2.18,7331721906,3367429868
v5,v5 v1+inline binop,tinywasm,2,call_ref twin: call_indirect (200K),-750120562,67,29.267,1956.16,1.000,2.52,9029657359,3583283709
v5,v5 v1+inline binop,tinywasm,3,fib(30),832040,12,154.272,1839.54,0.999,3.20,10783924588,3370477124
v5,v5 v1+inline binop,tinywasm,3,matmul relaxed-simd FMA,48907,471,4.246,1996.96,1.000,3.23,11816575893,3654730203
v5,v5 v1+inline binop,tinywasm,3,audio DSP (1000 frames × 512),761667740,1,1581.060,1572.44,1.000,3.27,9417932389,2877760353
v5,v5 v1+inline binop,tinywasm,3,call_indirect (200K dispatches),-9175573,59,33.798,1983.34,1.000,2.42,8787442754,3635751808
v5,v5 v1+inline binop,tinywasm,3,xmrsplayer (1024-frame buffer),-1612982694,86,22.815,1955.32,1.000,2.72,9726887241,3578050916
v5,v5 v1+inline binop,tinywasm,3,vtable_poly4 (200K),-126115384,29,67.907,1956.31,1.000,2.63,9439534195,3585547009
v5,v5 v1+inline binop,tinywasm,3,graphql-validation (AS),5,100,19.027,1916.41,1.000,2.29,8039919692,3512501893
v5,v5 v1+inline binop,tinywasm,3,graphql-validation (Porffor),0,123,16.154,1678.95,1.000,2.06,7587554971,3676179786
v5,v5 v1+inline binop,tinywasm,3,sieve(10000) [scalar build],1229,1913,1.012,1936.06,1.000,3.23,11437398922,3542526495
v5,v5 v1+inline binop,tinywasm,3,crc32(64KB) [scalar build],-1910355869,271,7.295,1974.01,1.000,3.29,11881917570,3612165359
v5,v5 v1+inline binop,tinywasm,3,convolution 256×256 [scalar build],8190685,95,21.018,1989.45,1.000,3.05,11120058157,3641194552
v5,v5 v1+inline binop,tinywasm,3,bulk_memory (memory.copy/fill) [scalar build],8698902,132,15.212,2000.81,1.000,3.39,12399648814,3662647899
v5,v5 v1+inline binop,tinywasm,3,tail-call FSM (65536 return_call),-1841735369,260,7.746,2009.83,1.000,3.04,11168358329,3678746064
v5,v5 v1+inline binop,tinywasm,3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,22.512,1970.76,1.000,2.64,9533278127,3610440918
v5,v5 v1+inline binop,tinywasm,3,GC binary trees (~130K struct.new),-81253392,12,154.506,1813.28,1.000,2.17,7331596838,3377530510
v5,v5 v1+inline binop,tinywasm,3,call_ref twin: call_indirect (200K),-750120562,67,29.341,1953.23,1.000,2.52,9029828235,3578801377
v5,v5 v1+inline binop,tinywasm,4,fib(30),832040,12,155.571,1850.67,1.000,3.18,10785204450,3392530824
v5,v5 v1+inline binop,tinywasm,4,matmul relaxed-simd FMA,48907,473,4.245,2005.03,1.000,3.23,11866675501,3669470131
v5,v5 v1+inline binop,tinywasm,4,audio DSP (1000 frames × 512),761667740,1,1572.730,1563.41,1.000,3.29,9418078271,2861264717
v5,v5 v1+inline binop,tinywasm,4,call_indirect (200K dispatches),-9175573,59,33.753,1983.82,1.000,2.42,8786810838,3630061462
v5,v5 v1+inline binop,tinywasm,4,xmrsplayer (1024-frame buffer),1890055750,88,22.764,1995.01,1.000,2.72,9954840055,3657654634
v5,v5 v1+inline binop,tinywasm,4,vtable_poly4 (200K),-126115384,29,67.780,1951.14,1.000,2.64,9440472553,3574488166
v5,v5 v1+inline binop,tinywasm,4,graphql-validation (AS),5,104,18.966,1991.10,1.000,2.29,8353456163,3648549425
v5,v5 v1+inline binop,tinywasm,4,graphql-validation (Porffor),0,123,16.102,1674.24,1.000,2.07,7588157484,3668549947
v5,v5 v1+inline binop,tinywasm,4,sieve(10000) [scalar build],1229,1895,1.011,1917.12,1.000,3.23,11330102697,3508798647
v5,v5 v1+inline binop,tinywasm,4,crc32(64KB) [scalar build],-1910355869,274,7.296,1995.87,1.000,3.29,12013555998,3653498026
v5,v5 v1+inline binop,tinywasm,4,convolution 256×256 [scalar build],8190685,96,20.995,2009.50,1.000,3.06,11237198788,3677992713
v5,v5 v1+inline binop,tinywasm,4,bulk_memory (memory.copy/fill) [scalar build],8698902,132,15.152,1996.28,1.000,3.39,12398905347,3653112401
v5,v5 v1+inline binop,tinywasm,4,tail-call FSM (65536 return_call),-1841735369,264,7.687,2025.17,1.000,3.06,11340441786,3707951621
v5,v5 v1+inline binop,tinywasm,4,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,24.138,2116.17,1.000,2.46,9532325210,3873816689
v5,v5 v1+inline binop,tinywasm,4,GC binary trees (~130K struct.new),-81253392,12,155.204,1813.42,1.000,2.17,7334529700,3386306102
v5,v5 v1+inline binop,tinywasm,4,call_ref twin: call_indirect (200K),-750120562,67,29.545,1967.34,1.000,2.51,9029047838,3600689049
v5,v5 v1+inline binop,tinywasm,5,fib(30),832040,12,154.269,1840.94,0.999,3.20,10784048169,3373161651
v5,v5 v1+inline binop,tinywasm,5,matmul relaxed-simd FMA,48907,471,4.249,1998.09,1.000,3.23,11817902370,3658140808
v5,v5 v1+inline binop,tinywasm,5,audio DSP (1000 frames × 512),761667740,1,1576.949,1566.62,1.000,3.28,9418207514,2867149253
v5,v5 v1+inline binop,tinywasm,5,call_indirect (200K dispatches),-9175573,59,33.911,1992.46,1.000,2.41,8787051177,3647462327
v5,v5 v1+inline binop,tinywasm,5,xmrsplayer (1024-frame buffer),-1464994193,85,24.056,2037.83,1.000,2.58,9615207038,3729676469
v5,v5 v1+inline binop,tinywasm,5,vtable_poly4 (200K),-126115384,29,67.573,1945.70,1.000,2.65,9440223000,3564680219
v5,v5 v1+inline binop,tinywasm,5,graphql-validation (AS),5,105,18.709,1982.85,1.000,2.32,8432050391,3633322038
v5,v5 v1+inline binop,tinywasm,5,graphql-validation (Porffor),0,123,16.130,1684.81,1.000,2.06,7589383354,3686413720
v5,v5 v1+inline binop,tinywasm,5,sieve(10000) [scalar build],1229,1885,1.012,1907.63,1.000,3.23,11270050695,3491252591
v5,v5 v1+inline binop,tinywasm,5,crc32(64KB) [scalar build],-1910355869,277,7.283,2014.61,1.000,3.29,12145096377,3687306004
v5,v5 v1+inline binop,tinywasm,5,convolution 256×256 [scalar build],8190685,95,20.906,1976.39,1.000,3.07,11120095692,3617632878
v5,v5 v1+inline binop,tinywasm,5,bulk_memory (memory.copy/fill) [scalar build],8698902,133,15.149,2009.45,1.000,3.40,12493157417,3678515440
v5,v5 v1+inline binop,tinywasm,5,tail-call FSM (65536 return_call),-1841735369,264,7.696,2028.94,1.000,3.05,11340483399,3713628265
v5,v5 v1+inline binop,tinywasm,5,"EH parser, exnref (4096 stmts, 25% throw)",830008030,89,22.273,1975.12,1.000,2.66,9641348463,3620446260
v5,v5 v1+inline binop,tinywasm,5,GC binary trees (~130K struct.new),-81253392,12,154.338,1803.60,1.000,2.18,7332125476,3361192357
v5,v5 v1+inline binop,tinywasm,5,call_ref twin: call_indirect (200K),-750120562,66,29.493,1933.35,1.000,2.51,8894148829,3538219524
v4,v4 upper bound,tinywasm,1,fib(30),832040,12,150.965,1798.91,0.998,3.21,10602795303,3300113654
v4,v4 upper bound,tinywasm,1,matmul relaxed-simd FMA,48907,510,3.946,2011.28,1.000,3.29,12115445402,3681769992
v4,v4 upper bound,tinywasm,1,audio DSP (1000 frames × 512),761667740,1,1537.565,1525.97,1.000,3.25,9101265453,2796963574
v4,v4 upper bound,tinywasm,1,call_indirect (200K dispatches),-9175573,60,32.993,1970.00,1.000,2.43,8787579243,3609561068
v4,v4 upper bound,tinywasm,1,xmrsplayer (1024-frame buffer),-1464994193,85,23.564,2003.19,0.998,2.56,9404019456,3676989854
v4,v4 upper bound,tinywasm,1,vtable_poly4 (200K),-126115384,30,66.022,1969.66,1.000,2.65,9562965540,3605939675
v4,v4 upper bound,tinywasm,1,graphql-validation (AS),5,106,18.555,1984.63,1.000,2.29,8314510821,3633548320
v4,v4 upper bound,tinywasm,1,graphql-validation (Porffor),0,123,15.731,1635.80,1.000,2.07,7411875940,3581969946
v4,v4 upper bound,tinywasm,1,sieve(10000) [scalar build],1229,1960,0.990,1941.97,1.000,3.20,11360325002,3554636960
v4,v4 upper bound,tinywasm,1,crc32(64KB) [scalar build],-1910355869,288,7.010,2015.83,1.000,3.33,12284526406,3689652663
v4,v4 upper bound,tinywasm,1,convolution 256×256 [scalar build],8190685,102,19.846,2016.30,1.000,3.11,11489127059,3690346298
v4,v4 upper bound,tinywasm,1,bulk_memory (memory.copy/fill) [scalar build],8698902,138,14.743,2024.40,1.000,3.41,12659917439,3710442336
v4,v4 upper bound,tinywasm,1,tail-call FSM (65536 return_call),-1841735369,266,7.517,1996.42,1.000,3.09,11287563026,3657600612
v4,v4 upper bound,tinywasm,1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,90,22.126,1983.17,1.000,2.65,9612082085,3630853111
v4,v4 upper bound,tinywasm,1,GC binary trees (~130K struct.new),-81253392,13,153.753,1956.05,1.000,2.16,7880027304,3643012018
v4,v4 upper bound,tinywasm,1,call_ref twin: call_indirect (200K),-750120562,69,29.044,1989.97,1.000,2.52,9191373618,3641986656
v4,v4 upper bound,tinywasm,2,fib(30),832040,12,150.848,1795.06,0.999,3.22,10589555006,3288482786
v4,v4 upper bound,tinywasm,2,matmul relaxed-simd FMA,48907,509,3.936,2001.20,1.000,3.30,12093695175,3665452836
v4,v4 upper bound,tinywasm,2,audio DSP (1000 frames × 512),761667740,1,1520.440,1510.33,1.000,3.29,9100562115,2764820870
v4,v4 upper bound,tinywasm,2,call_indirect (200K dispatches),-9175573,60,33.310,1981.93,1.000,2.41,8786234851,3644068001
v4,v4 upper bound,tinywasm,2,xmrsplayer (1024-frame buffer),1659814254,83,23.938,1981.44,1.000,2.53,9167382292,3626110681
v4,v4 upper bound,tinywasm,2,vtable_poly4 (200K),-126115384,30,65.841,1963.35,1.000,2.66,9563399196,3594251207
v4,v4 upper bound,tinywasm,2,graphql-validation (AS),5,87,18.804,1640.07,1.000,2.27,6817865928,3006702463
v4,v4 upper bound,tinywasm,2,graphql-validation (Porffor),0,122,16.159,1657.44,1.000,2.01,7360204964,3657350571
v4,v4 upper bound,tinywasm,2,sieve(10000) [scalar build],1229,1866,0.989,1848.34,1.000,3.20,10815145445,3382471972
v4,v4 upper bound,tinywasm,2,crc32(64KB) [scalar build],-1910355869,286,7.007,2001.29,1.000,3.33,12199142968,3663028936
v4,v4 upper bound,tinywasm,2,convolution 256×256 [scalar build],8190685,101,19.843,1996.83,1.000,3.11,11376283464,3654207658
v4,v4 upper bound,tinywasm,2,bulk_memory (memory.copy/fill) [scalar build],8698902,138,14.714,2025.42,1.000,3.41,12660813989,3712989528
v4,v4 upper bound,tinywasm,2,tail-call FSM (65536 return_call),-1841735369,270,7.551,2033.95,1.000,3.08,11456483846,3722503576
v4,v4 upper bound,tinywasm,2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,90,22.156,1986.89,1.000,2.64,9612437541,3637606930
v4,v4 upper bound,tinywasm,2,GC binary trees (~130K struct.new),-81253392,12,153.620,1803.41,1.000,2.17,7276799519,3358337034
