variant,build,runtime,rep,case,result,iterations,median_ms,cpu_user_ms,e_share,ipc,instructions,cycles
reference,runtime-refresh build,wamr,3,graphql-validation (AS),5,253,9.519,2409.46,1.000,1.54,6806220488,4412016669
reference,runtime-refresh build,wamr,3,graphql-validation (Porffor),0,187,10.522,1506.39,1.000,1.62,6016141124,3723960934
reference,runtime-refresh build,wamr,3,vtable_poly4 (200K),-126115384,60,33.756,2016.33,1.000,2.28,8409808102,3695596671
reference,runtime-refresh build,wamr,3,sieve(10000) [scalar build],1229,4815,0.478,2235.73,1.000,2.23,9124895617,4092752328
reference,runtime-refresh build,wamr,3,crc32(64KB) [scalar build],-1910355869,623,3.171,2010.68,1.000,2.26,8314460162,3682336970
reference,runtime-refresh build,wamr,3,convolution 256×256 [scalar build],8190685,214,9.319,2001.89,1.000,2.01,7372265657,3662878803
reference,runtime-refresh build,wamr,3,bulk_memory (memory.copy/fill) [scalar build],8698902,228,8.814,2027.58,1.000,2.31,8555439027,3710740895
reference,runtime-refresh build,wamr,3,tail-call FSM (65536 return_call),-1841735369,260,7.647,1984.30,1.000,2.92,10620862466,3631389621
reference,runtime-refresh build,wamr,3,call_ref twin: call_indirect (200K),-750120562,71,15.300,1082.77,1.000,2.29,4538877308,1982579284
reference,runtime-refresh build,wasm3,1,fib(30),832040,24,81.309,1939.31,0.999,2.48,8809546977,3556499791
reference,runtime-refresh build,wasm3,1,audio DSP (1000 frames × 512),761667740,4,439.463,1746.72,1.000,2.49,7965988173,3197770117
reference,runtime-refresh build,wasm3,1,call_indirect (200K dispatches),-9175573,167,11.766,1952.57,1.000,2.06,7368627140,3584426287
reference,runtime-refresh build,wasm3,1,xmrsplayer (1024-frame buffer),-1016271564,232,8.609,1986.14,1.000,1.70,6165685119,3634622414
reference,runtime-refresh build,wasm3,1,graphql-validation (AS),5,242,8.095,1974.04,1.000,1.31,4726343061,3615149373
reference,runtime-refresh build,wasm3,1,vtable_poly4 (200K),-126115384,78,24.950,1940.45,1.000,2.30,8178667491,3551306116
reference,runtime-refresh build,wasm3,1,sieve(10000) [scalar build],1229,7838,0.240,1881.42,0.999,3.10,10662823898,3444970026
reference,runtime-refresh build,wasm3,1,crc32(64KB) [scalar build],-1910355869,1045,1.899,1979.18,1.000,2.91,10527960849,3623412390
reference,runtime-refresh build,wasm3,1,convolution 256×256 [scalar build],8190685,289,6.854,1978.48,1.000,2.25,8160838383,3620675919
reference,runtime-refresh build,wasm3,1,bulk_memory (memory.copy/fill) [scalar build],8698902,321,6.054,1940.27,1.000,2.51,8902167702,3551437953
reference,runtime-refresh build,wasm3,1,tail-call FSM (65536 return_call),-1841735369,358,5.567,1991.60,1.000,1.72,6268062038,3644514553
reference,runtime-refresh build,wasm3,1,call_ref twin: call_indirect (200K),-750120562,197,10.238,2051.52,1.000,2.51,9403898125,3753955546
reference,runtime-refresh build,wasm3,2,fib(30),832040,24,81.399,1938.64,1.000,2.48,8807171798,3554364722
reference,runtime-refresh build,wasm3,2,audio DSP (1000 frames × 512),761667740,4,474.286,1887.17,1.000,2.31,7964943523,3453695454
reference,runtime-refresh build,wasm3,2,call_indirect (200K dispatches),-9175573,165,11.245,1847.71,1.000,2.15,7282887480,3391517349
reference,runtime-refresh build,wasm3,2,xmrsplayer (1024-frame buffer),95160813,217,9.045,1967.23,1.000,1.60,5768043221,3600275044
reference,runtime-refresh build,wasm3,2,graphql-validation (AS),5,249,7.982,2003.74,1.000,1.33,4861803553,3667837972
reference,runtime-refresh build,wasm3,2,vtable_poly4 (200K),-126115384,77,25.051,1923.77,1.000,2.29,8073665696,3520481693
reference,runtime-refresh build,wasm3,2,sieve(10000) [scalar build],1229,8303,0.240,1999.44,1.000,3.09,11288896256,3658362999
reference,runtime-refresh build,wasm3,2,crc32(64KB) [scalar build],-1910355869,1044,1.910,1983.97,1.000,2.90,10516619732,3631629676
reference,runtime-refresh build,wasm3,2,convolution 256×256 [scalar build],8190685,289,6.865,1981.61,1.000,2.25,8160763495,3626682340
reference,runtime-refresh build,wasm3,2,bulk_memory (memory.copy/fill) [scalar build],8698902,327,6.058,1978.21,1.000,2.50,9069284006,3622552875
reference,runtime-refresh build,wasm3,2,tail-call FSM (65536 return_call),-1841735369,355,5.568,1975.01,1.000,1.72,6215693475,3614762433
reference,runtime-refresh build,wasm3,2,call_ref twin: call_indirect (200K),-750120562,197,10.150,2020.28,1.000,2.54,9405354584,3699307209
reference,runtime-refresh build,wasm3,3,fib(30),832040,24,81.334,1945.55,0.996,2.47,8841466520,3576772705
reference,runtime-refresh build,wasm3,3,audio DSP (1000 frames × 512),761667740,4,438.731,1743.71,1.000,2.50,7964853812,3191253800
reference,runtime-refresh build,wasm3,3,call_indirect (200K dispatches),-9175573,177,11.229,1975.32,1.000,2.15,7810054855,3628019906
reference,runtime-refresh build,wasm3,3,xmrsplayer (1024-frame buffer),1416807453,209,9.438,1966.17,1.000,1.54,5558701242,3601285448
reference,runtime-refresh build,wasm3,3,graphql-validation (AS),5,240,8.130,1961.39,1.000,1.31,4687385201,3591623493
reference,runtime-refresh build,wasm3,3,vtable_poly4 (200K),-126115384,79,25.017,1969.86,1.000,2.30,8283697536,3605415838
reference,runtime-refresh build,wasm3,3,sieve(10000) [scalar build],1229,7616,0.240,1827.56,1.000,3.10,10357280280,3345829867
reference,runtime-refresh build,wasm3,3,crc32(64KB) [scalar build],-1910355869,1057,1.905,2003.53,1.000,2.90,10649004148,3672595587
reference,runtime-refresh build,wasm3,3,convolution 256×256 [scalar build],8190685,291,6.857,1994.68,1.000,2.25,8219017496,3652582291
reference,runtime-refresh build,wasm3,3,bulk_memory (memory.copy/fill) [scalar build],8698902,328,6.078,1988.90,1.000,2.50,9096442446,3641201949
reference,runtime-refresh build,wasm3,3,tail-call FSM (65536 return_call),-1841735369,358,5.572,1991.34,1.000,1.72,6269285235,3648759632
reference,runtime-refresh build,wasm3,3,call_ref twin: call_indirect (200K),-750120562,191,10.522,2013.28,1.000,2.47,9119939655,3687154814
