rep,variant,case,result,iterations,cycles_per_call,instructions_per_call,cpu_ms_per_call,e_share
3,ub,GC binary trees (~130K struct.new),-81253392,12,279306965.25,606311799.6666666,149.775,1.0
4,ub,GC binary trees (~130K struct.new),-81253392,12,279803901.1666667,606386754.5833334,150.09583333333333,1.0
5,ub,GC binary trees (~130K struct.new),-81253392,12,279917787.1666667,606330748.6666666,150.07916666666668,1.0
1,base,audio DSP (1000 frames × 512),761667740,1,3070720922.0,10362621715.0,1679.32,1.0
2,base,audio DSP (1000 frames × 512),761667740,1,3104906532.0,10363478531.0,1694.52,1.0
3,base,audio DSP (1000 frames × 512),761667740,1,3089180404.0,10362598260.0,1688.16,1.0
4,base,audio DSP (1000 frames × 512),761667740,1,3076223347.0,10362906084.0,1680.07,1.0
5,base,audio DSP (1000 frames × 512),761667740,1,3105096980.0,10362592838.0,1696.52,1.0
1,pr1,audio DSP (1000 frames × 512),761667740,1,2963370529.0,9950858712.0,1618.79,1.0
2,pr1,audio DSP (1000 frames × 512),761667740,1,2961123353.0,9950502039.0,1618.73,1.0
3,pr1,audio DSP (1000 frames × 512),761667740,1,2965256368.0,9950997738.0,1620.07,1.0
4,pr1,audio DSP (1000 frames × 512),761667740,1,2974600979.0,9951167834.0,1625.14,1.0
5,pr1,audio DSP (1000 frames × 512),761667740,1,2966362092.0,9952982007.0,1618.08,1.0
1,pr2,audio DSP (1000 frames × 512),761667740,1,2859123417.0,9417935769.0,1561.56,1.0
2,pr2,audio DSP (1000 frames × 512),761667740,1,2860095581.0,9417898546.0,1562.51,1.0
3,pr2,audio DSP (1000 frames × 512),761667740,1,2859223943.0,9418013000.0,1561.96,1.0
4,pr2,audio DSP (1000 frames × 512),761667740,1,2861819395.0,9418001477.0,1562.86,1.0
5,pr2,audio DSP (1000 frames × 512),761667740,1,2861826187.0,9418035547.0,1562.92,1.0
1,pr3,audio DSP (1000 frames × 512),761667740,1,2718485581.0,9100429718.0,1485.41,1.0
2,pr3,audio DSP (1000 frames × 512),761667740,1,2729475858.0,9100354887.0,1490.92,1.0
3,pr3,audio DSP (1000 frames × 512),761667740,1,2717306461.0,9100111470.0,1484.71,1.0
4,pr3,audio DSP (1000 frames × 512),761667740,1,2722881931.0,9100471918.0,1487.11,1.0
5,pr3,audio DSP (1000 frames × 512),761667740,1,2723127914.0,9100460990.0,1487.46,1.0
1,ub,audio DSP (1000 frames × 512),761667740,1,2734303979.0,9100257361.0,1494.16,1.0
2,ub,audio DSP (1000 frames × 512),761667740,1,2743440094.0,9100507746.0,1498.61,1.0
3,ub,audio DSP (1000 frames × 512),761667740,1,2749873161.0,9100489970.0,1501.66,1.0
4,ub,audio DSP (1000 frames × 512),761667740,1,2736619344.0,9100254264.0,1495.1,1.0
5,ub,audio DSP (1000 frames × 512),761667740,1,2742917894.0,9100214313.0,1498.24,1.0
1,base,bulk_memory (memory.copy/fill) [scalar build],8698902,120,30502984.258333333,101049209.95833333,16.661416666666664,1.0
2,base,bulk_memory (memory.copy/fill) [scalar build],8698902,119,30770350.31092437,101057052.55462185,16.783361344537816,1.0
3,base,bulk_memory (memory.copy/fill) [scalar build],8698902,116,30709639.577586208,101051489.86206897,16.76896551724138,1.0
4,base,bulk_memory (memory.copy/fill) [scalar build],8698902,120,30559264.666666668,101050092.18333334,16.687416666666667,1.0
5,base,bulk_memory (memory.copy/fill) [scalar build],8698902,120,30590246.516666666,101048750.71666667,16.710166666666666,1.0
1,pr1,bulk_memory (memory.copy/fill) [scalar build],8698902,129,28547506.054263566,96672845.62790698,15.593798449612402,1.0
2,pr1,bulk_memory (memory.copy/fill) [scalar build],8698902,128,28819171.53125,96674517.4453125,15.743046875,1.0
